Customer ID,recency,frequency,monetary,segment
12346,530,11,372.86,cant_loose
12347,368,2,1323.32,potential_loyalists
12348,439,1,222.16,hibernating
12349,408,3,2671.1400000000003,need_attention
12351,376,1,300.93,new_customers
12352,376,2,343.79999999999995,potential_loyalists
12353,409,1,317.75999999999993,about_to_sleep
12355,568,1,488.21,hibernating
12356,381,3,3562.2499999999995,potential_loyalists
12357,389,2,12079.990000000002,potential_loyalists
12358,376,3,2719.01,potential_loyalists
12359,426,6,2563.36,loyal_customers
12360,380,5,1590.83,champions
12361,463,3,321.35,at_risk
12362,739,1,130.0,hibernating
12366,634,1,500.24,hibernating
12368,629,1,917.6999999999999,hibernating
12369,414,3,1791.1499999999999,need_attention
12370,625,3,774.62,at_risk
12371,410,3,2179.42,need_attention
12373,625,2,763.0500000000001,hibernating
12374,422,3,2246.29,need_attention
12376,390,2,503.15000000000003,potential_loyalists
12377,382,2,1798.2,potential_loyalists
12378,563,1,1407.7,hibernating
12379,423,2,767.98,about_to_sleep
12380,466,7,6951.49,cant_loose
12385,380,1,1938.3999999999999,new_customers
12386,367,1,258.9,new_customers
12387,416,1,143.94,about_to_sleep
12388,446,2,1120.45,hibernating
12389,403,3,1433.33,need_attention
12391,465,5,2312.5299999999997,at_risk
12392,592,1,234.75000000000003,hibernating
12393,383,2,816.8500000000001,potential_loyalists
12395,372,4,2048.6400000000003,champions
12396,675,1,931.4300000000001,hibernating
12399,386,3,853.65,potential_loyalists
12400,415,1,205.25,about_to_sleep
12402,393,5,1031.3000000000002,loyal_customers
12403,522,1,591.6600000000001,hibernating
12404,683,1,63.24,hibernating
12406,400,3,2975.0599999999995,potential_loyalists
12408,386,3,1452.2199999999998,potential_loyalists
12409,421,4,12346.619999999999,loyal_customers
12410,503,1,320.38,hibernating
12411,410,1,346.9,about_to_sleep
12412,403,3,1370.0500000000002,need_attention
12413,403,1,241.35,about_to_sleep
12414,464,3,390.0,at_risk
12415,376,7,19543.84,champions
12416,657,1,202.56,hibernating
12417,411,11,3167.81,loyal_customers
12418,414,3,1352.62,need_attention
12419,386,2,503.01,potential_loyalists
12421,416,2,291.56,about_to_sleep
12422,395,14,4428.24,loyal_customers
12423,388,2,763.08,potential_loyalists
12424,423,2,1579.0700000000006,about_to_sleep
12425,449,1,964.2099999999999,hibernating
12426,663,1,762.4800000000002,hibernating
12427,372,1,303.5,new_customers
12429,366,5,3735.5099999999998,champions
12431,374,13,4370.52,champions
12433,367,5,7205.389999999999,champions
12434,382,1,297.29,promising
